date,price,bedrooms,bathrooms,floors,condition,yr_built,street,city,statezip,country
5/2/2014 0:00,313000,3,1.5,1.5,3,1955,18810 Densmore Ave N,Shoreline,WA 98133,USA
5/2/2014 0:00,2384000,5,2.5,2,5,1921,709 W Blaine St,Seattle,WA 98119,USA
5/2/2014 0:00,342000,3,2,1,4,1966,26206-26214 143rd Ave SE,Kent,WA 98042,USA
5/2/2014 0:00,420000,3,2.25,1,4,1963,857 170th Pl NE,Bellevue,WA 98008,USA
5/2/2014 0:00,550000,4,2.5,1,4,1976,9105 170th Ave NE,Redmond,WA 98052,USA
5/2/2014 0:00,490000,2,1,1,3,1938,522 NE 88th St,Seattle,WA 98115,USA
5/2/2014 0:00,335000,2,2,1,3,1976,2616 174th Ave NE,Redmond,WA 98052,USA
5/2/2014 0:00,482000,4,2.5,2,3,1989,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
5/2/2014 0:00,452500,3,2.5,1,4,1985,46611-46625 SE 129th St,North Bend,WA 98045,USA
5/2/2014 0:00,640000,4,2,1.5,3,1945,6811 55th Ave NE,Seattle,WA 98115,USA
5/2/2014 0:00,463000,3,1.75,1,3,1948,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
5/2/2014 0:00,1400000,4,2.5,1.5,5,1909,3838-4098 44th Ave NE,Seattle,WA 98105,USA
5/2/2014 0:00,588500,3,1.75,1,3,1980,1833 220th Pl NE,Sammamish,WA 98074,USA
5/2/2014 0:00,365000,3,1,1,4,1955,2504 SW Portland Ct,Seattle,WA 98106,USA
5/2/2014 0:00,1200000,5,2.75,1.5,3,1939,3534 46th Ave NE,Seattle,WA 98105,USA
5/2/2014 0:00,242500,3,1.5,1,4,1965,14034 SE 201st St,Kent,WA 98042,USA
5/2/2014 0:00,419000,3,1.5,1,4,1956,15424 SE 9th St,Bellevue,WA 98007,USA
5/2/2014 0:00,367500,4,3,2,3,1997,11224 SE 306th Pl,Auburn,WA 98092,USA
5/2/2014 0:00,257950,3,1.75,1,3,1987,1605 S 245th Pl,Des Moines,WA 98198,USA
5/2/2014 0:00,275000,3,1.5,1,3,1983,12425 415th Ave SE,North Bend,WA 98045,USA
5/2/2014 0:00,750000,3,1.75,2,5,1923,3225 NE 92nd St,Seattle,WA 98115,USA
5/2/2014 0:00,435000,4,1,1,4,1954,3922 154th Ave SE,Bellevue,WA 98006,USA
5/2/2014 0:00,626000,3,2.25,2.5,3,2005,3140 Franklin Ave E,Seattle,WA 98102,USA
5/2/2014 0:00,612500,4,2.5,2,3,1991,10212 NE 156th Pl,Bothell,WA 98011,USA
5/2/2014 0:00,495000,4,1.75,1,3,1959,2021 NE 100th St,Seattle,WA 98125,USA
5/2/2014 0:00,285000,3,2.5,1,4,1987,27736 23rd Avenue South,Federal Way,WA 98003,USA
5/2/2014 0:00,615000,3,1.75,1,4,1948,8436-8438 41st Ave SW,Seattle,WA 98136,USA
5/2/2014 0:00,698000,4,2.25,1.5,5,1920,1036 4th St,Kirkland,WA 98033,USA
5/2/2014 0:00,675000,5,2.5,2,3,1979,23525 SE 32nd Way,Issaquah,WA 98029,USA
5/2/2014 0:00,790000,3,2.5,1,4,1951,3314 NW 75th St,Seattle,WA 98117,USA
5/2/2014 0:00,382500,4,1.75,1,4,1967,14104 119th Ave NE,Kirkland,WA 98034,USA
5/2/2014 0:00,499950,4,2.5,2,3,2004,20120 137th Ave NE,Woodinville,WA 98072,USA
5/2/2014 0:00,650000,4,2,1.5,3,1945,7201-7399 55th Ave NE,Seattle,WA 98115,USA
5/2/2014 0:00,625000,4,2.5,2,3,2014,17052 4th Ave NE,Shoreline,WA 98155,USA
5/2/2014 0:00,400000,4,2.5,1.5,3,1979,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
5/2/2014 0:00,604000,3,2.5,2,3,1995,30822 36th Ct SW,Federal Way,WA 98023,USA
5/2/2014 0:00,440000,2,1,1,4,1944,4801-4899 6th Ave NW,Seattle,WA 98107,USA
5/2/2014 0:00,287200,3,3,1,4,1992,23017 SE 281st Ct,Maple Valley,WA 98038,USA
5/2/2014 0:00,403000,3,2,1,5,1957,17825 4th Ave SW,Normandy Park,WA 98166,USA
5/2/2014 0:00,750000,3,2.5,1,4,1955,3628 59th Ave SW,Seattle,WA 98116,USA
5/2/2014 0:00,335000,3,2.25,1,4,1978,4460 332nd Ave SE,Fall City,WA 98024,USA
5/2/2014 0:00,260000,4,2,1,4,1974,2019 Aberdeen Pl SE,Renton,WA 98055,USA
5/2/2014 0:00,308500,2,1,1,4,1950,121 NE 147th St,Shoreline,WA 98155,USA
5/2/2014 0:00,439950,3,2.5,2,3,1990,4458 51st Ave SW,Seattle,WA 98116,USA
5/2/2014 0:00,235000,2,1,1,2,1949,7542 21st Ave SW,Seattle,WA 98106,USA
5/2/2014 0:00,315000,3,1,1,3,1968,15804 198th Pl NE,Woodinville,WA 98077,USA
5/2/2014 0:00,437500,3,2.25,2,4,1977,26069 SE 154th St,Issaquah,WA 98027,USA
5/2/2014 0:00,407500,3,2.5,2,3,1996,4314 NE 6th Pl,Renton,WA 98059,USA
5/2/2014 0:00,445700,3,2.5,3,3,2001,2640 NW 56th St,Seattle,WA 98107,USA
5/2/2014 0:00,838000,4,2.5,2,3,2001,15712 NE 136th Pl,Redmond,WA 98052,USA
5/2/2014 0:00,630000,4,2.75,2,3,2000,26429 SE 154th Pl,Issaquah,WA 98027,USA
5/2/2014 0:00,550000,3,1.75,1.5,3,1979,3923 229th Pl SE,Sammamish,WA 98075,USA
5/2/2014 0:00,805000,3,2,1.5,4,1929,6222 30th Ave NE,Seattle,WA 98115,USA
5/2/2014 0:00,284000,3,1.75,1,3,1968,32418 NE 50th St,Carnation,WA 98014,USA
5/2/2014 0:00,470000,5,2.5,1,3,1976,19334 89th Ave NE,Bothell,WA 98011,USA
5/2/2014 0:00,430000,4,1.5,1,4,1954,4071 156th Ave SE,Bellevue,WA 98006,USA
5/2/2014 0:00,491500,4,1.75,1,3,1968,36850 204th Ave SE,Auburn,WA 98092,USA
5/2/2014 0:00,785000,5,3.25,2,3,2006,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA
5/2/2014 0:00,385000,3,3.25,2,3,2008,3400 21st Ave W,Seattle,WA 98199,USA
5/2/2014 0:00,295000,2,2.5,2,3,2009,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
5/2/2014 0:00,555000,4,2.5,2,3,2012,35229 SE Terrace St,Snoqualmie,WA 98065,USA
5/2/2014 0:00,459990,3,2.5,2,3,2013,13800 453rd Ave SE,North Bend,WA 98045,USA
5/2/2014 0:00,625000,4,3.25,1,3,2007,9927 174th Ave SE,Renton,WA 98059,USA
5/2/2014 0:00,300000,3,2.5,2,3,2006,29734 215th Terrace SE,Kent,WA 98042,USA
5/3/2014 0:00,625000,4,2.75,2,3,2012,5608 NE 5th Cir,Renton,WA 98059,USA
5/3/2014 0:00,553000,2,1,1,3,1944,8053 29th Ave NW,Seattle,WA 98117,USA
5/3/2014 0:00,379880,3,2.5,1,4,1986,13256 242nd Pl SE,Issaquah,WA 98027,USA
5/3/2014 0:00,310000,3,1,1,4,1973,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
5/4/2014 0:00,775000,2,2.5,1,3,2004,13134 234th Ct NE,Redmond,WA 98053,USA
5/4/2014 0:00,365000,3,2.5,1,5,1988,13420 SE 182nd St,Renton,WA 98058,USA
5/4/2014 0:00,331950,4,2.5,2,3,1990,925 48th Ct,Auburn,WA 98092,USA
5/4/2014 0:00,783500,3,2.5,2,3,1980,151 Euclid Ave,Seattle,WA 98122,USA
5/4/2014 0:00,628000,4,2,1,3,1900,205-206 Euclid Ave,Seattle,WA 98122,USA
5/5/2014 0:00,560000,3,2.5,2,3,1987,22314 NE 11th Pl,Sammamish,WA 98074,USA
5/5/2014 0:00,900000,3,1,1,3,1928,13615 NE 100th St,Kirkland,WA 98033,USA
5/5/2014 0:00,531000,2,3,2,3,2000,1411 N 48th St,Seattle,WA 98103,USA
5/5/2014 0:00,831000,4,3,2,4,1982,120 31st Ave E,Seattle,WA 98112,USA
5/5/2014 0:00,780000,4,2.5,2,3,1996,23140 NE 14th Ct,Sammamish,WA 98074,USA
5/5/2014 0:00,755000,4,2.5,1,4,1960,12645 SE 27th St,Bellevue,WA 98005,USA
5/5/2014 0:00,705380,3,2.5,2,3,2003,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
5/5/2014 0:00,627000,4,2.25,1,3,1973,18915 SE 42nd Pl,Issaquah,WA 98027,USA
5/5/2014 0:00,865000,4,3,2,3,1998,1765 267th Ct SE,Sammamish,WA 98075,USA
5/5/2014 0:00,580000,2,1,1,5,1942,8624 Island Dr S,Seattle,WA 98118,USA
5/5/2014 0:00,410000,3,2.25,1,4,1978,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA
5/5/2014 0:00,485000,4,3,1,4,1979,14319 85th Pl NE,Kirkland,WA 98034,USA
5/5/2014 0:00,400000,2,1.75,1,2,1948,2120 NE 168th St,Shoreline,WA 98155,USA
5/5/2014 0:00,549000,2,1,1,5,1908,209 30th Ave E,Seattle,WA 98112,USA
5/5/2014 0:00,620000,3,1.75,2.5,3,2005,10512 128th Ave NE,Kirkland,WA 98033,USA
5/5/2014 0:00,405000,2,3,2,3,2006,9126 45th Ave SW,Seattle,WA 98136,USA
5/5/2014 0:00,232000,2,1,1,4,1958,20220 8th Ave S,Des Moines,WA 98198,USA
5/5/2014 0:00,800866,5,2.5,2,4,1990,11821 NE 48th Pl,Kirkland,WA 98033,USA
5/5/2014 0:00,650000,3,1.5,1,4,1949,13026 10th Ave NW,Seattle,WA 98177,USA
5/5/2014 0:00,823000,6,1.75,2.5,4,1908,125 29th Ave,Seattle,WA 98122,USA
5/5/2014 0:00,770000,3,2,1.5,4,1939,2171 Boyer Ave E,Seattle,WA 98112,USA
5/5/2014 0:00,524000,3,1.75,1,4,1944,3434 33rd Ave W,Seattle,WA 98199,USA
5/5/2014 0:00,541125,5,2.75,1,4,1960,5211 116th Pl SE,Bellevue,WA 98006,USA
5/5/2014 0:00,670000,3,2.5,3,3,1909,3503 NE 44th St,Seattle,WA 98105,USA
5/5/2014 0:00,384900,5,2.5,1,3,1968,114 SW 292nd St,Federal Way,WA 98023,USA
5/5/2014 0:00,406100,3,2.25,3,3,2005,8536 Interlake Ave N,Seattle,WA 98103,USA
5/5/2014 0:00,1395000,5,3.5,2,5,1971,3930 NE Belvoir Pl,Seattle,WA 98105,USA
5/5/2014 0:00,736500,4,2.5,2,3,2000,17132 SE 100th St,Renton,WA 98059,USA
5/5/2014 0:00,570000,3,2.25,1,3,1975,10204 168th Pl NE,Redmond,WA 98052,USA
5/5/2014 0:00,787000,3,1.75,1,3,1961,218 109th Ave SE,Bellevue,WA 98004,USA
5/5/2014 0:00,328000,4,2.5,2,3,1998,12621 SE 300th Way,Auburn,WA 98092,USA
5/5/2014 0:00,435000,5,2,1,4,1942,14013 Ashworth Ave N,Seattle,WA 98133,USA
5/5/2014 0:00,499000,4,2.5,2,3,2006,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
5/5/2014 0:00,501000,4,1,1,3,1963,2506 166th Ave NE,Bellevue,WA 98008,USA
5/5/2014 0:00,1090000,4,2.5,2.5,3,1992,8814 218th Ave NE,Redmond,WA 98053,USA
5/5/2014 0:00,400000,2,1,1,3,1955,4515 SW Trenton St,Seattle,WA 98136,USA
5/5/2014 0:00,220000,4,1.5,1,3,1971,4924 SW 314th Pl,Federal Way,WA 98023,USA
5/5/2014 0:00,657100,4,1,1,3,1924,4312 Woodlawn Ave N,Seattle,WA 98103,USA
5/5/2014 0:00,309950,4,2.75,2,3,2006,22912 SE 268th Pl,Maple Valley,WA 98038,USA
5/5/2014 0:00,300000,3,2,1,3,1986,27106 NE Miller St,Duvall,WA 98019,USA
5/5/2014 0:00,525888,5,1.75,1,5,1960,13129 195th Pl SE,Issaquah,WA 98027,USA
5/5/2014 0:00,740000,4,1.75,1.5,3,1902,1014 W Garfield St,Seattle,WA 98119,USA
5/5/2014 0:00,340000,5,1,1.5,4,1962,14150 75th Ave NE,Kirkland,WA 98034,USA
5/5/2014 0:00,398750,3,2.5,2,3,1954,2601 21st Ave S,Seattle,WA 98144,USA
5/5/2014 0:00,206000,2,1,1,5,1944,12807 7th Ave S,Burien,WA 98168,USA
5/5/2014 0:00,1030000,5,2.75,1,3,1976,4529 135th Ave SE,Bellevue,WA 98006,USA
5/5/2014 0:00,600000,3,1.75,1,4,1976,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA
5/5/2014 0:00,379950,4,1.75,1,5,1960,1701 N 204th Pl,Shoreline,WA 98133,USA
5/5/2014 0:00,287000,3,1,1,4,1953,8681 Beacon Ave S,Seattle,WA 98118,USA
5/5/2014 0:00,2280000,7,8,3,3,1999,26408 NE 70th St,Redmond,WA 98053,USA
5/5/2014 0:00,309950,3,2.5,2,3,1994,17717 113th Pl SE,Renton,WA 98055,USA
5/5/2014 0:00,600000,3,1.75,1,4,1945,8040 39th Ave NE,Seattle,WA 98115,USA
5/5/2014 0:00,418000,3,2,1.5,4,1930,901 N 97th St,Seattle,WA 98103,USA
5/5/2014 0:00,449250,4,2,1.5,5,1928,519 N 104th St,Seattle,WA 98133,USA
5/5/2014 0:00,329950,2,1,1.5,4,1949,14017 Roslyn Pl N,Seattle,WA 98133,USA
5/5/2014 0:00,245000,3,1.75,1,3,1984,30001-30021 55th Pl S,Auburn,WA 98001,USA
5/5/2014 0:00,549000,4,2.5,2,3,2008,16026 SE 137th Terrace,Renton,WA 98059,USA
5/5/2014 0:00,800000,3,2.5,2,3,1994,22721-22727 SE 27th St,Sammamish,WA 98075,USA
5/5/2014 0:00,249950,3,2,1,4,1958,18027 SE 128th St,Renton,WA 98059,USA
5/5/2014 0:00,210000,5,2,1,3,1956,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
5/5/2014 0:00,1425000,2,2.5,2,3,2000,1857 41st Ave E,Seattle,WA 98112,USA
5/5/2014 0:00,585000,2,1,1.5,3,1949,353 NW 88th St,Seattle,WA 98117,USA
5/5/2014 0:00,615000,4,1.75,1,4,1977,18427 NE 26th Way,Redmond,WA 98052,USA
5/5/2014 0:00,618500,3,2,1,4,1942,2803 NE 62nd St,Seattle,WA 98115,USA
5/5/2014 0:00,487585,4,1.75,1,3,1977,13313 127th Pl NE,Kirkland,WA 98034,USA
5/5/2014 0:00,509900,3,2.5,2,3,2010,4532 185th Ave SE,Issaquah,WA 98027,USA
5/5/2014 0:00,631625,4,2.5,2,3,2014,9288-9358 Holman Rd NW,Seattle,WA 98117,USA
5/5/2014 0:00,555000,3,2.5,2,3,2009,4509 185th Ave SE,Issaquah,WA 98027,USA
5/5/2014 0:00,340000,2,1.5,2,3,2001,1318 29th Ave S,Seattle,WA 98144,USA
5/5/2014 0:00,830000,4,2.5,2,3,2007,12001 173rd Pl NE,Redmond,WA 98052,USA
5/5/2014 0:00,890000,4,4.25,2,3,2006,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
5/5/2014 0:00,366750,3,3,3,3,2008,14359 19th Ave NE,Seattle,WA 98125,USA
5/5/2014 0:00,415000,3,2.25,2.5,3,2010,935 4th Ave NE,Issaquah,WA 98029,USA
5/5/2014 0:00,416286,3,2.5,3,3,2005,7809 12th Ave NE,Seattle,WA 98115,USA
5/5/2014 0:00,478000,3,2.5,2,3,2007,2027 Ferndale Ave NE,Renton,WA 98056,USA
5/5/2014 0:00,890000,5,3.5,2,3,2006,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
5/5/2014 0:00,419190,2,2.5,2,3,2014,1273 NE Hickory Ln,Issaquah,WA 98029,USA
5/5/2014 0:00,712198,4,2.5,2,3,2013,17122 NE 117th St,Redmond,WA 98052,USA
5/6/2014 0:00,397000,4,2,1,3,1971,10601 NE 138th Pl,Kirkland,WA 98034,USA
5/6/2014 0:00,450000,2,2,1.5,3,1912,412 NW 70th St,Seattle,WA 98117,USA
5/6/2014 0:00,353000,3,1,1,4,1947,11051 35th Ave NE,Seattle,WA 98125,USA
5/6/2014 0:00,609000,4,2.5,2,3,1985,18114 NE 136th St,Redmond,WA 98052,USA
5/6/2014 0:00,234000,3,1.75,1,4,1975,25305 151st Pl SE,Covington,WA 98042,USA
5/6/2014 0:00,561000,3,2,2,3,1916,6422 Marshall Ave SW,Seattle,WA 98136,USA
5/6/2014 0:00,469000,2,1,1,3,1924,310 NW 72nd St,Seattle,WA 98117,USA
5/6/2014 0:00,329350,2,1,1,3,1942,9712 4th Ave NW,Seattle,WA 98117,USA
5/6/2014 0:00,488000,5,2,1.5,4,1938,9020-9024 11th Ave NW,Seattle,WA 98117,USA
5/6/2014 0:00,279900,3,1.75,1,4,1962,1629 S 261st Pl,Des Moines,WA 98198,USA
5/6/2014 0:00,606000,4,2.5,2,3,1987,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA
5/6/2014 0:00,312000,4,2,1,3,1950,2815 SW 107th St,Seattle,WA 98146,USA
